1ekaty	0.9	-0.075
u0dd8	0.535714285714	0.285714285714
111uqw	0.6	0.5
17v6ih	0.5	0.0
1e8k6q	0.883333333333	0.2
1f45nl	0.4	0.8
1i6u8h	0.4	-0.4
1annzy	0.333333333333	0.25
1dxpp0	0.535714285714	0.285714285714
w3myr	1.0	0.9
17rxa9	0.3	-0.3
lhvts	0.2	0.3
pelbc	0.7	-0.2
1a8d28	0.9	0.1
13sndf	0.522222222222	0.397222222222
1e3x58	0.3	1.0
147ktt	0.9	-0.8
1e1icb	0.6	0.1
yeizr	0.666666666667	-0.7
1fcs09	0.2	0.1
1bzlhm	1.0	-0.5
zjc4k	0.45	0.4
1gxfeh	0.966666666667	0.733333333333
18wfrz	0.65	0.5
wv9ok	0.1	0.2
14s90j	0.55	0.35
rzdh1	1.0	1.0
rcosk	0.2	0.3
18r3k4	0.75	0.8
xqrqi	0.5	0.2
14m7x0	0.2	0.25
sfa60	0.2	0.5
1gh9kj	0.535714285714	0.285714285714
179uho	0.1	-0.1
jcm11	0.533333333333	0.425
1ipako	1.0	-1.0
1imv1d	0.4	0.1
1d5wr9	1.0	-1.0
184np5	0.25	0.05
xu4vu	1.0	0.0
1j8nzt	1.0	0.0
1izm3d	0.1	0.2
1ht02m	0.966666666667	0.733333333333
yk417	0.4	-0.4
1il4t1	0.1125	-0.125
1gv5zf	0.3	0.1
1bdixz	0.9	-0.5
sztuy	0.0	-0.025
soklp	0.75	0.25
ppgar	0.5	0.2
1jmzow	0.25	0.25
1cis4e	0.4	-0.2
1c4l6g	0.05	0.0
oeomb	0.5	0.5
1i4ca3	0.8	0.6
15jajc	1.0	-1.0
phxsr	0.5	0.625
1876qe	0.288888888889	-0.155555555556
18fg7a	0.225	0.1
186a7l	0.288888888889	-0.155555555556
14jxo3	0.2	0.1
l1gm6	1.0	1.0
1gnwxi	0.767857142857	0.442857142857
y0dtk	0.6	-0.29375
s07t1	0.666666666667	0.466666666667
1e7eiv	0.55	0.35
